İl,İl_Kodu,Kategori,Yıl,Toplam_Nüfus,Erkek,Kadın,Şehir,Köy,Çocuk_0_14,Genç_15_24,Yetişkin_25_64,Yaşlı_65+,Büyüme_Oranı_%,Nüfus_Yoğunluğu_km2
Adana,01,Büyük Şehir,2005,1640398,823479,816919,1066258,574140,377291,262463,820199,180445,1.8,1986.0
Adana,01,Büyük Şehir,2006,1673169,839930,833239,1104291,568878,384828,267707,836584,184050,1.8,2424.9
Adana,01,Büyük Şehir,2007,1697725,852257,845468,1137475,560250,390476,271636,848862,186751,1.8,2756.0
Adana,01,Büyük Şehir,2008,1736578,871762,864816,1180873,555705,399412,277852,868289,191025,1.8,2619.3
Adana,01,Büyük Şehir,2009,1759816,883427,876389,1214273,545543,404757,281570,879908,193581,1.8,3060.5
Adana,01,Büyük Şehir,2010,1799989,903594,896395,1259992,539997,413997,287998,899994,198000,1.8,1908.8
Adana,01,Büyük Şehir,2011,1831734,919530,912204,1300531,531203,421298,293077,915867,201492,1.8,2253.1
Adana,01,Büyük Şehir,2012,1852518,929964,922554,1333812,518706,426079,296402,926259,203778,1.8,3319.9
Adana,01,Büyük Şehir,2013,1892484,950026,942458,1381513,510971,435271,302797,946242,208174,1.8,2017.6
Adana,01,Büyük Şehir,2014,1923947,965821,958126,1423720,500227,442507,307831,961973,211636,1.8,2875.9
Adana,01,Büyük Şehir,2015,1963277,985565,977712,1472457,490820,451553,314124,981638,215962,1.8,2097.5
Adana,01,Büyük Şehir,2016,1999449,1003723,995726,1519581,479868,459873,319911,999724,219941,1.8,2527.7
Adana,01,Büyük Şehir,2017,2039807,1023983,1015824,1570651,469156,469155,326369,1019903,224380,1.8,3469.1
Adana,01,Büyük Şehir,2018,2067368,1037818,1029550,1612547,454821,475494,330778,1033684,227412,1.8,2467.0
Adana,01,Büyük Şehir,2019,2108069,1058250,1049819,1665374,442695,484855,337291,1054034,231889,1.8,2671.8
Adana,01,Büyük Şehir,2020,2150526,1079564,1070962,1720420,430106,494620,344084,1075263,236559,1.8,2345.2
Adana,01,Büyük Şehir,2021,2169872,1089275,1080597,1757596,412276,499070,347179,1084936,238687,1.8,3902.6
Adana,01,Büyük Şehir,2022,2213562,1111208,1102354,1815120,398442,509119,354169,1106781,243493,1.8,3475.0
Adana,01,Büyük Şehir,2023,2262069,1135558,1126511,1877517,384552,520275,361931,1131034,248829,1.8,2437.6
Adana,01,Büyük Şehir,2024,2301030,1155117,1145913,1932865,368165,529236,368164,1150515,253115,1.8,3000.0
Adıyaman,02,Küçük Şehir,2005,215392,108126,107266,140004,75388,49540,34462,107696,23694,0.8,336.6
Adıyaman,02,Küçük Şehir,2006,216378,108621,107757,142809,73569,49766,34620,108189,23803,0.8,245.9
Adıyaman,02,Küçük Şehir,2007,218229,109550,108679,146213,72016,50192,34916,109114,24007,0.8,389.0
Adıyaman,02,Küçük Şehir,2008,219580,110229,109351,149314,70266,50503,35132,109790,24155,0.8,264.6
Adıyaman,02,Küçük Şehir,2009,220910,110896,110014,152427,68483,50809,35345,110455,24301,0.8,240.1
Adıyaman,02,Küçük Şehir,2010,224372,112634,111738,157060,67312,51605,35899,112186,24682,0.8,377.1
Adıyaman,02,Küçük Şehir,2011,225448,113174,112274,160068,65380,51853,36071,112724,24800,0.8,241.4
Adıyaman,02,Küçük Şehir,2012,227075,113991,113084,163494,63581,52227,36332,113537,24979,0.8,240.5
Adıyaman,02,Küçük Şehir,2013,228036,114474,113562,166466,61570,52448,36485,114018,25085,0.8,258.8
Adıyaman,02,Küçük Şehir,2014,230462,115691,114771,170541,59921,53006,36873,115231,25352,0.8,302.0
Adıyaman,02,Küçük Şehir,2015,232836,116883,115953,174627,58209,53552,37253,116418,25613,0.8,356.6
Adıyaman,02,Küçük Şehir,2016,235576,118259,117317,179037,56539,54182,37692,117788,25914,0.8,355.9
Adıyaman,02,Küçük Şehir,2017,237227,119087,118140,182664,54563,54562,37956,118613,26096,0.8,261.0
Adıyaman,02,Küçük Şehir,2018,237604,119277,118327,185331,52273,54648,38016,118802,26138,0.8,276.6
Adıyaman,02,Küçük Şehir,2019,239828,120393,119435,189464,50364,55160,38372,119914,26382,0.8,297.9
Adıyaman,02,Küçük Şehir,2020,243059,122015,121044,194447,48612,55903,38889,121529,26738,0.8,383.4
Adıyaman,02,Küçük Şehir,2021,244814,122896,121918,198299,46515,56307,39170,122407,26930,0.8,259.3
Adıyaman,02,Küçük Şehir,2022,246603,123794,122809,202214,44389,56718,39456,123301,27128,0.8,336.9
Adıyaman,02,Küçük Şehir,2023,248972,124983,123989,206646,42326,57263,39835,124486,27388,0.8,301.1
Adıyaman,02,Küçük Şehir,2024,249941,125470,124471,209950,39991,57486,39990,124970,27495,0.8,378.1
Afyonkarahisar,03,Orta Ölçek,2005,595988,299185,296803,387392,208596,137077,95358,297994,65559,1.2,684.3
Afyonkarahisar,03,Orta Ölçek,2006,606611,304518,302093,400363,206248,139520,97057,303305,66729,1.2,1096.9
Afyonkarahisar,03,Orta Ölçek,2007,614415,308436,305979,411658,202757,141315,98306,307207,67587,1.2,748.4
Afyonkarahisar,03,Orta Ölçek,2008,622443,312466,309977,423261,199182,143161,99590,311221,68471,1.2,1051.4
Afyonkarahisar,03,Orta Ölçek,2009,626203,314353,311850,432080,194123,144026,100192,313101,68884,1.2,1010.0
Afyonkarahisar,03,Orta Ölçek,2010,636650,319598,317052,445655,190995,146429,101864,318325,70032,1.2,720.2
Afyonkarahisar,03,Orta Ölçek,2011,642372,322470,319902,456084,186288,147745,102779,321186,70662,1.2,1034.4
Afyonkarahisar,03,Orta Ölçek,2012,648713,325653,323060,467073,181640,149203,103794,324356,71360,1.2,797.9
Afyonkarahisar,03,Orta Ölçek,2013,659239,330937,328302,481244,177995,151624,105478,329619,72518,1.2,1058.2
Afyonkarahisar,03,Orta Ölçek,2014,666953,334810,332143,493545,173408,153399,106712,333476,73366,1.2,875.3
Afyonkarahisar,03,Orta Ölçek,2015,671457,337071,334386,503592,167865,154435,107433,335728,73861,1.2,784.4
Afyonkarahisar,03,Orta Ölçek,2016,684426,343581,340845,520163,164263,157417,109508,342213,75288,1.2,1074.5
Afyonkarahisar,03,Orta Ölçek,2017,687360,345054,342306,529267,158093,158092,109977,343680,75611,1.2,973.6
Afyonkarahisar,03,Orta Ölçek,2018,700946,351874,349072,546737,154209,161217,112151,350473,77105,1.2,817.9
Afyonkarahisar,03,Orta Ölçek,2019,705518,354170,351348,557359,148159,162269,112882,352759,77608,1.2,805.4
Afyonkarahisar,03,Orta Ölçek,2020,712567,357708,354859,570053,142514,163890,114010,356283,78384,1.2,1295.6
Afyonkarahisar,03,Orta Ölçek,2021,722141,362514,359627,584934,137207,166092,115542,361070,79437,1.2,1014.2
Afyonkarahisar,03,Orta Ölçek,2022,728719,365816,362903,597549,131170,167605,116595,364359,80160,1.2,864.4
Afyonkarahisar,03,Orta Ölçek,2023,738064,370508,367556,612593,125471,169754,118090,369032,81188,1.2,930.7
Afyonkarahisar,03,Orta Ölçek,2024,747436,375212,372224,627846,119590,171910,119589,373718,82219,1.2,1158.8
Ağrı,04,Orta Ölçek,2005,421912,211799,210113,274242,147670,97039,67505,210956,46412,1.2,451.7
Ağrı,04,Orta Ölçek,2006,426609,214157,212452,281561,145048,98120,68257,213304,46928,1.2,669.7
Ağrı,04,Orta Ölçek,2007,434161,217948,216213,290887,143274,99857,69465,217080,47759,1.2,485.1
Ağrı,04,Orta Ölçek,2008,437961,219856,218105,297813,140148,100731,70073,218980,48177,1.2,530.2
Ağrı,04,Orta Ölçek,2009,441850,221808,220042,304876,136974,101625,70696,220925,48604,1.2,645.0
Ağrı,04,Orta Ölçek,2010,450002,225901,224101,315001,135001,103500,72000,225001,49501,1.2,483.4
Ağrı,04,Orta Ölçek,2011,454248,228032,226216,322516,131732,104477,72679,227124,49968,1.2,554.6
Ağrı,04,Orta Ölçek,2012,460290,231065,229225,331408,128882,105866,73646,230145,50633,1.2,487.1
Ağrı,04,Orta Ölçek,2013,465903,233883,232020,340109,125794,107157,74544,232951,51251,1.2,556.0
Ağrı,04,Orta Ölçek,2014,472528,237209,235319,349670,122858,108681,75604,236264,51979,1.2,620.1
Ağrı,04,Orta Ölçek,2015,476528,239217,237311,357396,119132,109601,76244,238264,52419,1.2,621.3
Ağrı,04,Orta Ölçek,2016,481434,241679,239755,365889,115545,110729,77029,240717,52959,1.2,786.7
Ağrı,04,Orta Ölçek,2017,488134,245043,243091,375863,112271,112270,78101,244067,53696,1.2,834.4
Ağrı,04,Orta Ölçek,2018,494068,248022,246046,385373,108695,113635,79050,247034,54349,1.2,588.9
Ağrı,04,Orta Ölçek,2019,501619,251812,249807,396279,105340,115372,80259,250809,55179,1.2,673.3
Ağrı,04,Orta Ölçek,2020,504245,253130,251115,403396,100849,115976,80679,252122,55468,1.2,812.0
Ağrı,04,Orta Ölçek,2021,513181,257616,255565,415676,97505,118031,82108,256590,56452,1.2,829.0
Ağrı,04,Orta Ölçek,2022,518569,260321,258248,425226,93343,119270,82971,259284,57044,1.2,573.6
Ağrı,04,Orta Ölçek,2023,521163,261623,259540,432565,88598,119867,83386,260581,57329,1.2,760.8
Ağrı,04,Orta Ölçek,2024,531188,266656,264532,446197,84991,122173,84990,265594,58431,1.2,614.8
Amasya,05,Küçük Şehir,2005,293094,147133,145961,190511,102583,67411,46895,146547,32241,0.8,437.5
Amasya,05,Küçük Şehir,2006,294302,147739,146563,194239,100063,67689,47088,147151,32374,0.8,315.1
Amasya,05,Küçük Şehir,2007,295459,148320,147139,197957,97502,67955,47273,147729,32502,0.8,359.9
Amasya,05,Küçük Şehir,2008,300292,150746,149546,204198,96094,69067,48046,150146,33033,0.8,342.0
Amasya,05,Küçük Şehir,2009,301801,151504,150297,208242,93559,69414,48288,150900,33199,0.8,351.7
Amasya,05,Küçük Şehir,2010,305566,153394,152172,213896,91670,70280,48890,152783,33613,0.8,322.0
Amasya,05,Küçük Şehir,2011,306800,154013,152787,217828,88972,70564,49088,153400,33748,0.8,373.7
Amasya,05,Küçük Şehir,2012,309535,155386,154149,222865,86670,71193,49525,154767,34050,0.8,497.6
Amasya,05,Küçük Şehir,2013,312827,157039,155788,228363,84464,71950,50052,156413,34412,0.8,346.4
Amasya,05,Küçük Şehir,2014,312575,156912,155663,231305,81270,71892,50012,156287,34384,0.8,352.4
Amasya,05,Küçük Şehir,2015,317611,159440,158171,238208,79403,73050,50817,158805,34939,0.8,546.7
Amasya,05,Küçük Şehir,2016,317767,159519,158248,241502,76265,73086,50842,158883,34956,0.8,569.5
Amasya,05,Küçük Şehir,2017,320057,160668,159389,246443,73614,73613,51209,160028,35207,0.8,446.4
Amasya,05,Küçük Şehir,2018,322710,162000,160710,251713,70997,74223,51633,161355,35499,0.8,585.7
Amasya,05,Küçük Şehir,2019,328177,164744,163433,259259,68918,75480,52508,164088,36101,0.8,355.2
Amasya,05,Küçük Şehir,2020,329461,165389,164072,263568,65893,75776,52713,164730,36242,0.8,452.6
Amasya,05,Küçük Şehir,2021,331787,166557,165230,268747,63040,76311,53085,165893,36498,0.8,376.6
Amasya,05,Küçük Şehir,2022,334868,168103,166765,274591,60277,77019,53578,167434,36837,0.8,557.2
Amasya,05,Küçük Şehir,2023,338543,169948,168595,280990,57553,77864,54166,169271,37242,0.8,491.4
Amasya,05,Küçük Şehir,2024,339431,170394,169037,285122,54309,78069,54308,169715,37339,0.8,514.3
Ankara,06,Metropol,2005,3633466,1823999,1809467,2361752,1271714,835697,581354,1816733,399682,2.5,3932.3
Ankara,06,Metropol,2006,3700443,1857622,1842821,2442292,1258151,851101,592070,1850221,407051,2.5,5589.8
Ankara,06,Metropol,2007,3807235,1911231,1896004,2550847,1256388,875664,609157,1903617,418797,2.5,4906.2
Ankara,06,Metropol,2008,3894915,1955247,1939668,2648542,1246373,895830,623186,1947457,428442,2.5,4653.4
Ankara,06,Metropol,2009,4003816,2009915,1993901,2762633,1241183,920877,640610,2001908,440421,2.5,5282.1
